_recordId,_createdTime,Prompt,Status,Date,URL_R2,Dimensions,Pour,Type
recHaeSGZouptcU1i,2026-04-23T13:00:14.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded_r2,2026-04-23T13:00:12.739Z,https://pub-98fc057dc71948c7bd129a674b4bcec8.r2.dev/social/posts/social-post-2026-04-23T13-00-12.png,1080x1080,manual,social_post
recNisP6AxEOsizv3,2026-04-15T02:32:26.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded_r2,2026-04-13T13:00:18.951Z,https://pub-98fc057dc71948c7bd129a674b4bcec8.r2.dev/social/posts/social-post-2026-04-13T13-00-18.png,1080x1080,manual,social_post
recYemuyVjPozSWX7,2026-04-15T02:32:26.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded,2026-04-10T02:25:20.405Z,https://drive.google.com/uc?id=1_vCDkV58DNKpoJ1Oy42G-n-nt6B3giqP,1080x1080,manual,social_post
recc4Wjm53DkLnyPi,2026-04-15T02:32:26.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded_r2,2026-04-12T13:00:15.815Z,https://pub-98fc057dc71948c7bd129a674b4bcec8.r2.dev/social/posts/social-post-2026-04-12T13-00-15.png,1080x1080,manual,social_post
reccBzHwwmb1riADK,2026-04-15T02:32:26.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded_r2,2026-04-14T13:00:14.574Z,https://pub-98fc057dc71948c7bd129a674b4bcec8.r2.dev/social/posts/social-post-2026-04-14T13-00-14.png,1080x1080,manual,social_post
receiEbakk2Wz7L1c,2026-04-16T13:00:23.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded_r2,2026-04-16T13:00:21.388Z,https://pub-98fc057dc71948c7bd129a674b4bcec8.r2.dev/social/posts/social-post-2026-04-16T13-00-21.png,1080x1080,manual,social_post
recjCnWTMX3eCNSVl,2026-04-22T13:00:18.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded_r2,2026-04-22T13:00:16.156Z,https://pub-98fc057dc71948c7bd129a674b4bcec8.r2.dev/social/posts/social-post-2026-04-22T13-00-16.png,1080x1080,manual,social_post
reckbNZz208apiW4j,2026-04-15T02:32:26.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded,2026-04-10T23:58:08.446Z,https://drive.google.com/uc?id=14Okaam3ue-sN4aijYl6NS_0Yi2DRky7A,1080x1080,manual,social_post
recwB6M7TYAJyEpRA,2026-04-15T02:32:26.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded,2026-04-10T23:34:49.738Z,https://drive.google.com/uc?id=17Gc-KV-iptylTy0x0ASPQFkpSDZjTZdW,1080x1080,manual,social_post
recwp0qHBWIlqCZOM,2026-04-15T13:00:17.000Z,Un entrepreneur africain souriant devant son ordinateur à Dakar,uploaded_r2,2026-04-15T13:00:15.338Z,https://pub-98fc057dc71948c7bd129a674b4bcec8.r2.dev/social/posts/social-post-2026-04-15T13-00-15.png,1080x1080,manual,social_post
