Scenario,Annee,Encaissements (CA),Decaissements (COGS+OPEX+IS),Flux net annuel,Apport,Tresorerie fin de periode
prudent,An1,20433278,12533162,7900115,6000000,13900115
prudent,An2,41278330,23594820,17683510,0,31583625
prudent,An3,62531480,36231154,26300326,0,57883952
prudent,An4,83275497,49931499,33343998,0,91227950
prudent,An5,104685355,65819371,38865984,0,130093934
base,An1,48169875,24551829,23618046,9000000,32618046
base,An2,104294750,52886594,51408156,0,84026202
base,An3,176768575,91772795,84995780,0,169021982
base,An4,259022902,140106228,118916674,0,287938657
base,An5,352142882,193038959,159103923,0,447042580
optimiste,An1,106145600,52018568,54127032,14000000,68127032
optimiste,An2,259804280,131666650,128137630,0,196264662
optimiste,An3,494869724,253427524,241442200,0,437706862
optimiste,An4,797871374,412668109,385203265,0,822910127
optimiste,An5,1167713119,609920178,557792940,0,1380703067
