Scenario,Annee,CA total,COGS paiement,COGS infra/IA,Marge brute,Personnel,Marketing,Outils,G&A,Total OPEX,EBITDA,IS (30%),Resultat net
prudent,An1,20433278,612998,734400,19085879,4500000,1500000,600000,1200000,7800000,11285879,3385764,7900115
prudent,An2,41278330,1238350,1851840,38188140,8400000,2185983,840000,1500000,12925983,25262157,7578647,17683510
prudent,An3,62531480,1875944,3141504,57514032,13200000,3762137,1080000,1900000,19942137,37571895,11271568,26300326
prudent,An4,83275497,2498265,4563302,76213930,19200000,5659647,1320000,2400000,28579647,47634283,14290285,33343998
prudent,An5,104685355,3140561,6273181,95271613,27000000,8188778,1560000,3000000,39748778,55522835,16656850,38865984
base,An1,48169875,1445096,1403200,45321579,5400000,3961512,720000,1500000,11581512,33740066,10122020,23618046
base,An2,104294750,3128842,3661440,97504468,11400000,9584245,1080000,2000000,24064245,73440222,22032067,51408156
base,An3,176768575,5303057,6950208,164515310,19800000,19252766,1440000,2600000,43092766,121422543,36426763,84995780
base,An4,259022902,7770687,10945146,240307070,33000000,32226107,1800000,3400000,70426107,169880963,50964289,118916674
base,An5,352142882,10564286,15602402,325976193,43800000,48524875,2160000,4200000,98684875,227291319,68187396,159103923
optimiste,An1,106145600,3184368,2560000,100401232,7200000,13176900,900000,1800000,23076900,77324332,23197300,54127032
optimiste,An2,259804280,7794128,7385600,244624552,21000000,36570795,1500000,2500000,61570795,183053757,54916127,128137630
optimiste,An3,494869724,14846092,15157968,464865664,34200000,80248236,2100000,3400000,119948236,344917428,103475228,241442200
optimiste,An4,797871374,23936141,25232015,748703217,49800000,141312839,2700000,4600000,198412839,550290379,165087114,385203265
optimiste,An5,1167713119,35031394,37535372,1095146353,69000000,219999296,3300000,6000000,298299296,796847057,239054117,557792940
