Driver,Prudent,Base,Optimiste
Nouveaux inscrits gratuits An1,1500,2500,4000
Nouveaux inscrits gratuits An5,13000,30000,65000
Taux conversion acheteur formation,"2,5%","4,0%","6,0%"
Cours / acheteur / an,"1,10","1,25","1,40"
"Prix moyen formation (ASP, FCFA)",110000,125000,135000
Taux adhesion Club (% acheteurs),15%,25%,35%
Retention annuelle Club,60%,70%,80%
Taux abonnement Rysmo+ (% inscrits),"1,5%","2,5%","4,0%"
Duree moyenne abo Rysmo+ (mois),"4,0","5,0","6,0"
Taux achat packs Rysmo (% inscrits),4%,7%,10%
Achats packs / acheteur / an,"1,5","2,0","2,5"
Commission Bictorys,"3,0%","3,0%","3,0%"
IS Senegal,30%,30%,30%
Apport / financement initial (FCFA),6000000,9000000,14000000
