Scenario,Annee,Formations,Club Digitos,Rysmo+ abos,Packs Rysmo,Total CA
prudent,An1,4537500,111938,391500,135000,5175938
prudent,An2,10587500,328350,913500,315000,12144350
prudent,An3,18150000,644760,1566000,540000,20900760
prudent,An4,27225000,1058481,2349000,810000,31442481
prudent,An5,39325000,1605214,3393000,1170000,45493214
base,An1,15625000,497500,1359375,525000,18006875
base,An2,37500000,1542250,3262500,1260000,43564750
base,An3,75000000,3467575,6525000,2520000,87512575
base,An4,125000000,6407302,10875000,4200000,146482302
base,An5,187500000,10455112,16312500,6300000,220567612
optimiste,An1,45360000,1671600,4176000,1500000,52707600
optimiste,An2,124740000,5934180,11484000,4125000,146283180
optimiste,An3,272160000,14776944,25056000,9000000,320992944
optimiste,An4,476280000,29373355,43848000,15750000,565251355
optimiste,An5,737100000,50662184,67860000,24375000,879997184
