Apport initial (Jan): 9000000 FCFA — tresorerie de depart
Mois,Encaissements,COGS,Personnel,Marketing,Outils+G&A,Flux net,Tresorerie cumulee
Jan,383125,32770,450000,84288,185000,-368933,8631067
Fev,574688,49156,450000,126431,185000,-235899,8395168
Mar,766250,65541,450000,168575,185000,-102866,8292302
Avr,957812,81926,450000,210719,185000,30168,8322470
Mai,1149375,98311,450000,252862,185000,163201,8485672
Jun,1340938,114696,450000,295006,185000,296235,8781907
Jul,1532500,131081,450000,337150,185000,429269,9211175
Aou,1724062,147467,450000,379294,185000,562302,9773477
Sep,1915625,163852,450000,421438,185000,695336,10468813
Oct,2107188,180237,450000,463581,185000,828369,11297183
Nov,2490312,213007,450000,547869,185000,1094437,12391619
Dec,3065000,262163,450000,674300,185000,1493537,13885156
